,Funciones GPS_fg,año,valor
0,Educación,2005,13330423
1,Salud,2005,17109940
2,Seguridad y Asistencia Social,2005,48449411
3,Vivienda y Servicios comunitarios,2005,5537733
4,Cultura y Deporte,2005,803209
5,Educación,2006,15797877
6,Salud,2006,20306273
7,Seguridad y Asistencia Social,2006,55334454
8,Vivienda y Servicios comunitarios,2006,7026100
9,Cultura y Deporte,2006,1295416
10,Educación,2007,19738425
11,Salud,2007,22870861
12,Seguridad y Asistencia Social,2007,60858340
13,Vivienda y Servicios comunitarios,2007,7947292
14,Cultura y Deporte,2007,1984497
15,Educación,2008,26243078
16,Salud,2008,31229731
17,Seguridad y Asistencia Social,2008,69130248
18,Vivienda y Servicios comunitarios,2008,8684637
19,Cultura y Deporte,2008,2723963
20,Educación,2009,31832546
21,Salud,2009,36751808
22,Seguridad y Asistencia Social,2009,82426601
23,Vivienda y Servicios comunitarios,2009,11257426
24,Cultura y Deporte,2009,2185846
25,Educación,2010,34422331
26,Salud,2010,42014547
27,Seguridad y Asistencia Social,2010,97325949
28,Vivienda y Servicios comunitarios,2010,12267309
29,Cultura y Deporte,2010,2585708
30,Educación,2011,41095180
31,Salud,2011,49367582
32,Seguridad y Asistencia Social,2011,112809966
33,Vivienda y Servicios comunitarios,2011,13938521
34,Cultura y Deporte,2011,3530490
35,Educación,2012,47681518
36,Salud,2012,59804835
37,Seguridad y Asistencia Social,2012,127655415
38,Vivienda y Servicios comunitarios,2012,15141653
39,Cultura y Deporte,2012,3528858
40,Educación,2013,53449381
41,Salud,2013,69830593
42,Seguridad y Asistencia Social,2013,145746025
43,Vivienda y Servicios comunitarios,2013,17787645
44,Cultura y Deporte,2013,3531607
45,Educación,2014,61457409
46,Salud,2014,81088264
47,Seguridad y Asistencia Social,2014,167284737
48,Vivienda y Servicios comunitarios,2014,19577747
49,Cultura y Deporte,2014,3962955
50,Educación,2015,66625297
51,Salud,2015,91340513
52,Seguridad y Asistencia Social,2015,189923853
53,Vivienda y Servicios comunitarios,2015,21243100
54,Cultura y Deporte,2015,4399740
55,Educación,2016,75374406
56,Salud,2016,103463793
57,Seguridad y Asistencia Social,2016,210157574
58,Vivienda y Servicios comunitarios,2016,24924063
59,Cultura y Deporte,2016,3510733
60,Educación,2017,84282223
61,Salud,2017,114615406
62,Seguridad y Asistencia Social,2017,234969307
63,Vivienda y Servicios comunitarios,2017,27210083
64,Cultura y Deporte,2017,4004637
65,Educación,2018,93256537
66,Salud,2018,123405412
67,Seguridad y Asistencia Social,2018,257672119
68,Vivienda y Servicios comunitarios,2018,29334645
69,Cultura y Deporte,2018,4044393
